Member_number,Recency,Frequency,Monetary,Cluster
KH1570,285.0,5.0,41.0,Churned Customers
KH1571,220.0,8.0,34.5,Big Spenders
KH1572,100.0,20.0,182.1,Loyal Customers
KH1573,343.0,6.0,36.9,Churned Customers
KH1574,148.0,23.0,205.7,Loyal Customers
KH1575,360.0,10.0,38.62,Churned Customers
KH1577,289.0,2.0,32.1,Churned Customers
KH1578,190.0,8.0,57.2,Big Spenders
KH1579,563.0,2.0,11.5,One-time Shoppers
KH1580,25.0,16.0,53.35,Potential Loyalists
KH1581,139.0,6.0,83.7,Big Spenders
KH1582,146.0,6.0,95.06,Big Spenders
KH1583,37.0,21.0,164.05,Loyal Customers
KH1584,173.0,16.0,141.95,Big Spenders
KH1585,357.0,8.0,38.3,Churned Customers
KH1586,607.0,6.0,25.9,One-time Shoppers
KH1587,182.0,13.0,101.62,Big Spenders
KH1588,78.0,8.0,109.54,Potential Loyalists
KH1589,490.0,4.0,46.0,One-time Shoppers
KH1590,137.0,6.0,43.7,Big Spenders
KH1591,285.0,10.0,103.2,Churned Customers
KH1592,397.0,2.0,4.4,Churned Customers
KH1593,144.0,7.0,32.6,Big Spenders
KH1594,341.0,6.0,23.3,Churned Customers
KH1595,86.0,22.0,176.9,Loyal Customers
KH1596,169.0,10.0,35.45,Big Spenders
KH1597,328.0,8.0,58.2,Churned Customers
KH1598,303.0,7.0,29.2,Churned Customers
KH1599,78.0,14.0,79.44,Potential Loyalists
KH1601,21.0,6.0,85.5,Potential Loyalists
KH1602,123.0,14.0,148.0,Loyal Customers
KH1603,91.0,15.0,106.75,Potential Loyalists
KH1604,49.0,8.0,48.0,Potential Loyalists
KH1605,177.0,11.0,47.1,Big Spenders
KH1606,49.0,8.0,128.0,Loyal Customers
KH1607,444.0,6.0,35.76,Churned Customers
KH1608,47.0,18.0,170.12,Loyal Customers
KH1609,13.0,15.0,203.1,Loyal Customers
KH1610,218.0,6.0,25.7,Big Spenders
KH1611,270.0,10.0,93.85,Big Spenders
KH1612,54.0,16.0,102.3,Potential Loyalists
KH1613,127.0,15.0,164.7,Loyal Customers
KH1614,70.0,4.0,85.42,Potential Loyalists
KH1615,27.0,12.0,69.5,Potential Loyalists
KH1616,22.0,13.0,132.0,Loyal Customers
KH1617,275.0,9.0,35.1,Churned Customers
KH1618,150.0,16.0,192.72,Loyal Customers
KH1619,62.0,11.0,132.61,Loyal Customers
KH1620,132.0,11.0,160.1,Loyal Customers
KH1621,313.0,14.0,150.72,Churned Customers
KH1622,294.0,10.0,72.96,Churned Customers
KH1623,58.0,12.0,135.7,Loyal Customers
KH1624,8.0,9.0,151.0,Loyal Customers
KH1625,33.0,18.0,205.26,Loyal Customers
KH1626,315.0,2.0,4.1,Churned Customers
KH1627,263.0,9.0,37.0,Big Spenders
KH1628,41.0,15.0,118.4,Potential Loyalists
KH1629,205.0,6.0,60.9,Big Spenders
KH1630,222.0,4.0,16.5,Big Spenders
KH1631,138.0,5.0,48.6,Big Spenders
KH1632,15.0,14.0,117.04,Potential Loyalists
KH1633,143.0,6.0,32.62,Big Spenders
KH1634,27.0,19.0,107.3,Potential Loyalists
KH1635,35.0,6.0,41.86,Potential Loyalists
KH1636,25.0,12.0,119.6,Potential Loyalists
KH1638,293.0,8.0,81.5,Churned Customers
KH1639,81.0,7.0,114.8,Potential Loyalists
KH1640,662.0,4.0,27.4,One-time Shoppers
KH1641,190.0,12.0,94.7,Big Spenders
KH1642,458.0,2.0,5.9,One-time Shoppers
KH1643,246.0,4.0,12.0,Big Spenders
KH1644,535.0,5.0,62.62,One-time Shoppers
KH1645,451.0,5.0,34.2,Churned Customers
KH1646,124.0,17.0,151.66,Loyal Customers
KH1647,10.0,7.0,82.88,Potential Loyalists
KH1648,243.0,10.0,89.0,Big Spenders
KH1649,31.0,18.0,178.7,Loyal Customers
KH1650,551.0,6.0,39.8,One-time Shoppers
KH1651,13.0,16.0,220.35,Loyal Customers
KH1652,288.0,12.0,105.5,Churned Customers
KH1653,23.0,18.0,201.0,Loyal Customers
KH1654,51.0,23.0,247.84,Loyal Customers
KH1655,40.0,9.0,109.1,Potential Loyalists
KH1656,61.0,12.0,107.14,Potential Loyalists
KH1657,597.0,6.0,38.9,One-time Shoppers
KH1658,118.0,12.0,113.3,Potential Loyalists
KH1659,30.0,15.0,145.5,Loyal Customers
KH1660,157.0,7.0,76.25,Big Spenders
KH1661,52.0,17.0,115.16,Potential Loyalists
KH1662,201.0,5.0,30.0,Big Spenders
KH1663,49.0,13.0,100.1,Potential Loyalists
KH1664,273.0,10.0,57.4,Churned Customers
KH1665,31.0,6.0,30.0,Potential Loyalists
KH1666,259.0,4.0,38.7,Big Spenders
KH1667,352.0,2.0,41.6,Churned Customers
KH1668,131.0,11.0,127.2,Big Spenders
KH1669,133.0,9.0,52.74,Big Spenders
KH1670,38.0,9.0,73.5,Potential Loyalists
KH1672,84.0,6.0,39.6,Potential Loyalists
KH1673,631.0,2.0,13.9,One-time Shoppers
KH1674,26.0,12.0,115.55,Potential Loyalists
KH1676,80.0,10.0,57.6,Potential Loyalists
KH1677,21.0,11.0,219.0,Loyal Customers
KH1678,46.0,8.0,61.4,Potential Loyalists
KH1679,22.0,11.0,53.2,Potential Loyalists
KH1680,385.0,6.0,67.2,Churned Customers
KH1681,542.0,6.0,20.1,One-time Shoppers
KH1682,59.0,20.0,155.66,Loyal Customers
KH1683,132.0,5.0,29.2,Big Spenders
KH1684,361.0,8.0,79.9,Churned Customers
KH1685,134.0,8.0,26.7,Big Spenders
KH1686,594.0,7.0,45.3,One-time Shoppers
KH1687,439.0,11.0,85.3,Churned Customers
KH1688,50.0,2.0,10.1,Potential Loyalists
KH1689,386.0,5.0,54.8,Churned Customers
KH1690,131.0,16.0,125.8,Big Spenders
KH1692,185.0,15.0,121.65,Big Spenders
KH1693,3.0,12.0,71.9,Potential Loyalists
KH1694,455.0,6.0,37.8,Churned Customers
KH1695,329.0,2.0,20.6,Churned Customers
KH1696,87.0,13.0,81.95,Potential Loyalists
KH1697,43.0,15.0,78.66,Potential Loyalists
KH1698,161.0,9.0,55.04,Big Spenders
KH1699,96.0,10.0,98.4,Potential Loyalists
KH1700,61.0,4.0,18.64,Potential Loyalists
KH1701,227.0,2.0,37.9,Big Spenders
KH1702,350.0,13.0,75.9,Churned Customers
KH1703,312.0,14.0,125.6,Churned Customers
KH1705,79.0,8.0,50.85,Potential Loyalists
KH1706,138.0,14.0,155.0,Loyal Customers
KH1707,204.0,4.0,24.5,Big Spenders
KH1708,2.0,16.0,159.4,Loyal Customers
KH1709,252.0,4.0,34.4,Big Spenders
KH1710,25.0,6.0,100.0,Potential Loyalists
KH1711,38.0,19.0,163.66,Loyal Customers
KH1712,487.0,5.0,79.1,One-time Shoppers
KH1714,150.0,5.0,44.4,Big Spenders
KH1715,179.0,17.0,284.89,Loyal Customers
KH1716,501.0,8.0,101.2,One-time Shoppers
KH1717,51.0,8.0,55.3,Potential Loyalists
KH1718,291.0,7.0,62.95,Churned Customers
KH1719,104.0,13.0,85.84,Potential Loyalists
KH1720,25.0,7.0,39.04,Potential Loyalists
KH1721,76.0,6.0,11.8,Potential Loyalists
KH1722,125.0,14.0,69.25,Big Spenders
KH1723,22.0,10.0,87.34,Potential Loyalists
KH1724,112.0,11.0,107.0,Potential Loyalists
KH1725,429.0,6.0,82.35,Churned Customers
KH1726,4.0,13.0,132.1,Loyal Customers
KH1727,165.0,6.0,32.4,Big Spenders
KH1728,137.0,7.0,41.1,Big Spenders
KH1729,15.0,15.0,174.7,Loyal Customers
KH1730,5.0,8.0,43.0,Potential Loyalists
KH1731,40.0,12.0,97.2,Potential Loyalists
KH1732,215.0,7.0,50.0,Big Spenders
KH1733,190.0,17.0,133.6,Big Spenders
KH1734,170.0,17.0,181.0,Big Spenders
KH1735,511.0,5.0,104.0,One-time Shoppers
KH1736,123.0,12.0,83.0,Potential Loyalists
KH1737,116.0,21.0,156.95,Loyal Customers
KH1738,455.0,8.0,40.85,Churned Customers
KH1739,213.0,4.0,55.9,Big Spenders
KH1740,404.0,16.0,125.8,Churned Customers
KH1741,10.0,13.0,117.6,Potential Loyalists
KH1742,18.0,9.0,111.7,Potential Loyalists
KH1743,47.0,14.0,86.6,Potential Loyalists
KH1744,93.0,4.0,7.65,Potential Loyalists
KH1745,648.0,2.0,14.4,One-time Shoppers
KH1746,77.0,10.0,49.5,Potential Loyalists
KH1747,378.0,11.0,67.2,Churned Customers
KH1748,297.0,19.0,85.8,Churned Customers
KH1749,360.0,8.0,87.34,Churned Customers
KH1750,325.0,12.0,112.96,Churned Customers
KH1751,280.0,10.0,58.9,Churned Customers
KH1752,255.0,10.0,48.6,Big Spenders
KH1753,131.0,17.0,124.5,Big Spenders
KH1754,104.0,14.0,108.8,Potential Loyalists
KH1755,574.0,4.0,16.9,One-time Shoppers
KH1756,98.0,9.0,72.6,Potential Loyalists
KH1757,7.0,15.0,108.0,Potential Loyalists
KH1758,307.0,14.0,127.84,Churned Customers
KH1759,95.0,12.0,127.8,Loyal Customers
KH1760,341.0,8.0,50.8,Churned Customers
KH1761,89.0,18.0,228.22,Loyal Customers
KH1762,182.0,4.0,11.0,Big Spenders
KH1763,3.0,7.0,57.45,Potential Loyalists
KH1764,45.0,11.0,58.6,Potential Loyalists
KH1765,294.0,8.0,112.8,Churned Customers
KH1766,343.0,5.0,79.75,Churned Customers
KH1767,67.0,12.0,102.36,Potential Loyalists
KH1768,117.0,20.0,125.01,Loyal Customers
KH1769,0.0,5.0,26.8,Potential Loyalists
KH1770,41.0,10.0,45.52,Potential Loyalists
KH1771,282.0,6.0,34.0,Churned Customers
KH1772,58.0,8.0,57.5,Potential Loyalists
KH1773,59.0,9.0,71.1,Potential Loyalists
KH1774,145.0,12.0,62.65,Big Spenders
KH1775,80.0,2.0,41.4,Potential Loyalists
KH1776,259.0,14.0,109.3,Big Spenders
KH1777,27.0,20.0,185.9,Loyal Customers
KH1778,373.0,6.0,85.3,Churned Customers
KH1779,63.0,9.0,101.1,Potential Loyalists
KH1780,78.0,21.0,119.05,Potential Loyalists
KH1781,207.0,6.0,65.46,Big Spenders
KH1782,81.0,13.0,164.2,Loyal Customers
KH1783,176.0,18.0,126.24,Big Spenders
KH1784,95.0,7.0,66.7,Potential Loyalists
KH1785,9.0,20.0,196.3,Loyal Customers
KH1786,323.0,6.0,24.3,Churned Customers
KH1787,60.0,13.0,232.7,Loyal Customers
KH1788,10.0,16.0,105.55,Potential Loyalists
KH1789,69.0,10.0,100.4,Potential Loyalists
KH1790,276.0,4.0,22.7,Churned Customers
KH1791,454.0,8.0,59.4,Churned Customers
KH1792,137.0,13.0,182.84,Loyal Customers
KH1793,26.0,25.0,345.1,Loyal Customers
KH1794,104.0,5.0,26.3,Potential Loyalists
KH1795,271.0,4.0,65.75,Big Spenders
KH1796,57.0,14.0,86.4,Potential Loyalists
KH1797,411.0,11.0,92.09,Churned Customers
KH1798,363.0,17.0,135.2,Churned Customers
KH1799,94.0,9.0,46.82,Potential Loyalists
KH1800,152.0,12.0,81.4,Big Spenders
KH1801,201.0,11.0,47.3,Big Spenders
KH1803,232.0,9.0,53.9,Big Spenders
KH1804,30.0,9.0,81.9,Potential Loyalists
KH1805,204.0,7.0,42.3,Big Spenders
KH1806,177.0,11.0,109.22,Big Spenders
KH1807,12.0,6.0,85.7,Potential Loyalists
KH1808,162.0,10.0,109.8,Big Spenders
KH1809,429.0,6.0,38.4,Churned Customers
KH1810,443.0,12.0,107.2,Churned Customers
KH1811,98.0,18.0,145.3,Loyal Customers
KH1812,77.0,4.0,49.8,Potential Loyalists
KH1813,394.0,3.0,50.9,Churned Customers
KH1814,40.0,12.0,97.4,Potential Loyalists
KH1815,122.0,11.0,67.3,Potential Loyalists
KH1816,496.0,10.0,88.11,One-time Shoppers
KH1817,131.0,12.0,133.2,Loyal Customers
KH1818,111.0,10.0,48.6,Potential Loyalists
KH1819,12.0,17.0,206.9,Loyal Customers
KH1820,267.0,10.0,85.4,Big Spenders
KH1821,223.0,8.0,140.2,Big Spenders
KH1822,302.0,13.0,68.9,Churned Customers
KH1823,33.0,11.0,120.9,Potential Loyalists
KH1824,59.0,9.0,70.4,Potential Loyalists
KH1825,39.0,13.0,104.9,Potential Loyalists
KH1826,376.0,2.0,11.7,Churned Customers
KH1827,182.0,23.0,158.6,Big Spenders
KH1828,281.0,9.0,38.25,Churned Customers
KH1829,194.0,9.0,74.2,Big Spenders
KH1830,348.0,4.0,36.5,Churned Customers
KH1831,355.0,7.0,67.15,Churned Customers
KH1832,43.0,16.0,154.75,Loyal Customers
KH1833,159.0,10.0,80.8,Big Spenders
KH1834,38.0,7.0,72.16,Potential Loyalists
KH1835,191.0,10.0,106.64,Big Spenders
KH1836,113.0,6.0,95.0,Potential Loyalists
KH1837,174.0,12.0,87.75,Big Spenders
KH1838,280.0,10.0,91.9,Churned Customers
KH1839,82.0,11.0,142.2,Loyal Customers
KH1840,367.0,5.0,40.9,Churned Customers
KH1841,234.0,4.0,28.6,Big Spenders
KH1842,310.0,6.0,45.8,Churned Customers
KH1843,24.0,9.0,56.65,Potential Loyalists
KH1844,47.0,15.0,109.72,Potential Loyalists
KH1845,145.0,7.0,20.0,Big Spenders
KH1846,31.0,12.0,62.5,Potential Loyalists
KH1847,257.0,9.0,60.05,Big Spenders
KH1848,177.0,8.0,47.25,Big Spenders
KH1849,188.0,8.0,61.42,Big Spenders
KH1850,294.0,8.0,99.2,Churned Customers
KH1851,172.0,10.0,82.0,Big Spenders
KH1852,478.0,10.0,56.32,One-time Shoppers
KH1853,213.0,9.0,126.1,Big Spenders
KH1854,157.0,6.0,38.7,Big Spenders
KH1855,51.0,13.0,160.65,Loyal Customers
KH1856,65.0,8.0,95.9,Potential Loyalists
KH1857,111.0,5.0,80.7,Potential Loyalists
KH1858,249.0,5.0,38.7,Big Spenders
KH1859,216.0,11.0,161.4,Big Spenders
KH1860,522.0,4.0,14.7,One-time Shoppers
KH1861,140.0,5.0,32.9,Big Spenders
KH1862,116.0,15.0,225.65,Loyal Customers
KH1863,148.0,14.0,110.6,Big Spenders
KH1864,94.0,8.0,61.6,Potential Loyalists
KH1865,27.0,14.0,146.6,Loyal Customers
KH1866,52.0,18.0,244.5,Loyal Customers
KH1867,276.0,11.0,67.7,Churned Customers
KH1868,424.0,7.0,68.5,Churned Customers
KH1869,228.0,11.0,51.0,Big Spenders
KH1870,112.0,25.0,257.54,Loyal Customers
KH1871,381.0,2.0,21.9,Churned Customers
KH1872,128.0,10.0,47.7,Big Spenders
KH1873,102.0,6.0,45.3,Potential Loyalists
KH1874,154.0,9.0,35.9,Big Spenders
KH1875,154.0,5.0,69.9,Big Spenders
KH1876,197.0,2.0,25.3,Big Spenders
KH1877,456.0,11.0,43.22,One-time Shoppers
KH1878,33.0,21.0,127.61,Loyal Customers
KH1879,417.0,8.0,34.4,Churned Customers
KH1880,106.0,4.0,18.8,Potential Loyalists
KH1881,76.0,11.0,51.05,Potential Loyalists
KH1882,96.0,6.0,97.4,Potential Loyalists
KH1883,55.0,10.0,66.7,Potential Loyalists
KH1884,19.0,12.0,105.05,Potential Loyalists
KH1885,5.0,11.0,78.5,Potential Loyalists
KH1886,28.0,4.0,22.56,Potential Loyalists
KH1887,51.0,22.0,185.8,Loyal Customers
KH1888,207.0,14.0,183.1,Big Spenders
KH1889,124.0,18.0,240.15,Loyal Customers
KH1890,217.0,8.0,197.2,Big Spenders
KH1891,543.0,6.0,22.8,One-time Shoppers
KH1892,40.0,15.0,109.12,Potential Loyalists
KH1893,270.0,8.0,92.3,Big Spenders
KH1894,88.0,14.0,141.2,Loyal Customers
KH1895,402.0,13.0,118.38,Churned Customers
KH1896,379.0,12.0,111.3,Churned Customers
KH1897,339.0,8.0,47.4,Churned Customers
KH1898,414.0,2.0,12.8,Churned Customers
KH1899,67.0,12.0,93.64,Potential Loyalists
KH1900,97.0,10.0,74.44,Potential Loyalists
KH1901,31.0,12.0,99.2,Potential Loyalists
KH1902,29.0,7.0,59.22,Potential Loyalists
KH1903,295.0,10.0,62.45,Churned Customers
KH1904,256.0,6.0,61.2,Big Spenders
KH1905,73.0,26.0,253.51,Loyal Customers
KH1907,164.0,5.0,51.2,Big Spenders
KH1908,157.0,20.0,180.64,Loyal Customers
KH1909,121.0,7.0,44.8,Potential Loyalists
KH1910,61.0,10.0,85.6,Potential Loyalists
KH1911,211.0,7.0,74.66,Big Spenders
KH1912,130.0,6.0,55.1,Big Spenders
KH1913,134.0,16.0,195.7,Loyal Customers
KH1914,209.0,7.0,36.55,Big Spenders
KH1915,145.0,4.0,13.0,Big Spenders
KH1916,44.0,7.0,34.65,Potential Loyalists
KH1917,154.0,11.0,137.0,Big Spenders
KH1918,92.0,4.0,70.4,Potential Loyalists
KH1919,134.0,4.0,39.6,Big Spenders
KH1920,317.0,6.0,30.0,Churned Customers
KH1921,49.0,14.0,193.0,Loyal Customers
KH1922,84.0,19.0,98.9,Potential Loyalists
KH1923,24.0,12.0,93.15,Potential Loyalists
KH1924,43.0,14.0,72.99,Potential Loyalists
KH1925,575.0,2.0,10.7,One-time Shoppers
KH1926,75.0,6.0,65.0,Potential Loyalists
KH1927,229.0,6.0,38.6,Big Spenders
KH1928,104.0,9.0,99.8,Potential Loyalists
KH1929,173.0,21.0,126.9,Big Spenders
KH1930,45.0,13.0,115.3,Potential Loyalists
KH1931,82.0,16.0,157.7,Loyal Customers
KH1932,114.0,20.0,179.8,Loyal Customers
KH1933,435.0,2.0,16.2,Churned Customers
KH1934,146.0,19.0,185.8,Loyal Customers
KH1935,489.0,11.0,49.6,One-time Shoppers
KH1936,137.0,6.0,42.2,Big Spenders
KH1937,74.0,13.0,67.8,Potential Loyalists
KH1938,236.0,10.0,72.0,Big Spenders
KH1939,61.0,14.0,137.52,Loyal Customers
KH1940,42.0,11.0,204.15,Loyal Customers
KH1941,105.0,5.0,36.6,Potential Loyalists
KH1942,441.0,4.0,39.0,Churned Customers
KH1943,91.0,20.0,140.86,Loyal Customers
KH1944,121.0,4.0,21.7,Potential Loyalists
KH1945,244.0,14.0,115.9,Big Spenders
KH1946,22.0,12.0,110.5,Potential Loyalists
KH1947,532.0,9.0,112.0,One-time Shoppers
KH1948,127.0,22.0,135.15,Loyal Customers
KH1949,161.0,15.0,219.8,Loyal Customers
KH1950,49.0,10.0,43.35,Potential Loyalists
KH1951,69.0,6.0,108.1,Potential Loyalists
KH1952,37.0,10.0,85.3,Potential Loyalists
KH1953,296.0,4.0,57.2,Churned Customers
KH1954,146.0,11.0,114.62,Big Spenders
KH1955,320.0,8.0,76.12,Churned Customers
KH1956,716.0,2.0,11.3,One-time Shoppers
KH1957,333.0,4.0,20.8,Churned Customers
KH1958,180.0,7.0,101.5,Big Spenders
KH1959,17.0,19.0,160.6,Loyal Customers
KH1960,355.0,4.0,25.2,Churned Customers
KH1961,15.0,12.0,54.9,Potential Loyalists
KH1962,205.0,10.0,70.8,Big Spenders
KH1963,0.0,2.0,11.1,Potential Loyalists
KH1964,394.0,10.0,53.17,Churned Customers
KH1965,148.0,4.0,44.2,Big Spenders
KH1966,433.0,16.0,91.24,Churned Customers
KH1967,64.0,15.0,93.95,Potential Loyalists
KH1968,88.0,11.0,101.0,Potential Loyalists
KH1969,160.0,14.0,76.76,Big Spenders
KH1970,567.0,9.0,100.7,One-time Shoppers
KH1971,103.0,8.0,120.55,Loyal Customers
KH1972,211.0,5.0,25.9,Big Spenders
KH1973,67.0,2.0,114.9,Potential Loyalists
KH1974,241.0,5.0,76.6,Big Spenders
KH1975,95.0,4.0,23.3,Potential Loyalists
KH1976,77.0,3.0,6.7,Potential Loyalists
KH1977,352.0,3.0,41.9,Churned Customers
KH1978,299.0,6.0,105.9,Churned Customers
KH1979,39.0,17.0,193.7,Loyal Customers
KH1980,76.0,10.0,49.83,Potential Loyalists
KH1981,60.0,4.0,54.7,Potential Loyalists
KH1982,16.0,7.0,89.2,Potential Loyalists
KH1983,143.0,16.0,199.6,Loyal Customers
KH1985,34.0,8.0,39.75,Potential Loyalists
KH1987,76.0,9.0,76.0,Potential Loyalists
KH1988,113.0,6.0,56.9,Potential Loyalists
KH1989,112.0,2.0,7.6,Potential Loyalists
KH1990,151.0,6.0,42.2,Big Spenders
KH1991,21.0,23.0,201.2,Loyal Customers
KH1992,124.0,8.0,103.8,Big Spenders
KH1993,175.0,9.0,81.9,Big Spenders
KH1994,86.0,14.0,86.7,Potential Loyalists
KH1995,201.0,17.0,61.82,Big Spenders
KH1996,234.0,10.0,51.75,Big Spenders
KH1997,2.0,21.0,150.12,Loyal Customers
KH1998,226.0,27.0,168.05,Big Spenders
KH1999,128.0,16.0,159.24,Loyal Customers
KH2000,129.0,7.0,82.4,Big Spenders
KH2001,112.0,20.0,267.32,Loyal Customers
KH2002,71.0,7.0,47.3,Potential Loyalists
KH2003,37.0,6.0,44.7,Potential Loyalists
KH2004,131.0,13.0,118.8,Big Spenders
KH2005,99.0,13.0,83.99,Potential Loyalists
KH2006,22.0,4.0,32.0,Potential Loyalists
KH2007,37.0,6.0,51.85,Potential Loyalists
KH2008,70.0,6.0,11.65,Potential Loyalists
KH2009,80.0,6.0,49.4,Potential Loyalists
KH2010,11.0,12.0,55.34,Potential Loyalists
KH2011,7.0,18.0,86.86,Potential Loyalists
KH2012,276.0,4.0,13.2,Churned Customers
KH2013,122.0,7.0,32.45,Potential Loyalists
KH2014,190.0,19.0,84.5,Big Spenders
KH2015,232.0,4.0,22.6,Big Spenders
KH2016,137.0,4.0,47.6,Big Spenders
KH2017,68.0,16.0,180.4,Loyal Customers
KH2018,127.0,13.0,139.6,Loyal Customers
KH2019,46.0,18.0,91.1,Potential Loyalists
KH2020,41.0,9.0,67.8,Potential Loyalists
KH2021,352.0,2.0,20.6,Churned Customers
KH2022,161.0,23.0,260.7,Loyal Customers
KH2023,121.0,7.0,64.1,Potential Loyalists
KH2024,527.0,4.0,10.25,One-time Shoppers
KH2025,412.0,8.0,73.4,Churned Customers
KH2026,411.0,4.0,75.2,Churned Customers
KH2027,447.0,5.0,41.2,Churned Customers
KH2028,10.0,13.0,134.29,Loyal Customers
KH2029,175.0,11.0,86.7,Big Spenders
KH2030,117.0,7.0,33.22,Potential Loyalists
KH2031,307.0,14.0,157.0,Churned Customers
KH2032,155.0,7.0,54.45,Big Spenders
KH2033,319.0,11.0,201.5,Churned Customers
KH2034,80.0,6.0,62.46,Potential Loyalists
KH2035,7.0,11.0,113.22,Potential Loyalists
KH2036,490.0,6.0,32.3,One-time Shoppers
KH2037,255.0,8.0,101.95,Big Spenders
KH2038,227.0,10.0,76.95,Big Spenders
KH2039,99.0,4.0,47.4,Potential Loyalists
KH2040,84.0,15.0,140.0,Loyal Customers
KH2041,97.0,15.0,165.5,Loyal Customers
KH2042,41.0,14.0,139.24,Loyal Customers
KH2043,253.0,16.0,113.56,Big Spenders
KH2044,14.0,9.0,66.01,Potential Loyalists
KH2045,23.0,15.0,148.4,Loyal Customers
KH2046,131.0,5.0,35.25,Big Spenders
KH2047,10.0,12.0,96.8,Potential Loyalists
KH2048,14.0,12.0,73.2,Potential Loyalists
KH2049,84.0,9.0,95.3,Potential Loyalists
KH2050,185.0,4.0,23.9,Big Spenders
KH2051,46.0,33.0,284.9,Loyal Customers
KH2053,100.0,8.0,32.2,Potential Loyalists
KH2054,15.0,12.0,95.12,Potential Loyalists
KH2055,52.0,17.0,101.85,Potential Loyalists
KH2056,36.0,18.0,145.23,Loyal Customers
KH2057,47.0,5.0,32.54,Potential Loyalists
KH2058,209.0,12.0,65.76,Big Spenders
KH2059,479.0,9.0,165.35,One-time Shoppers
KH2060,157.0,5.0,36.4,Big Spenders
KH2061,3.0,11.0,127.6,Potential Loyalists
KH2062,99.0,8.0,48.11,Potential Loyalists
KH2063,33.0,13.0,116.9,Potential Loyalists
KH2064,131.0,8.0,53.0,Big Spenders
KH2065,342.0,14.0,84.0,Churned Customers
KH2066,223.0,12.0,137.7,Big Spenders
KH2067,140.0,9.0,36.54,Big Spenders
KH2068,206.0,12.0,81.65,Big Spenders
KH2069,181.0,10.0,146.1,Big Spenders
KH2070,11.0,24.0,223.85,Loyal Customers
KH2071,77.0,10.0,82.66,Potential Loyalists
KH2072,32.0,13.0,96.2,Potential Loyalists
KH2073,195.0,9.0,83.65,Big Spenders
KH2074,10.0,11.0,55.2,Potential Loyalists
KH2075,344.0,6.0,18.0,Churned Customers
KH2076,26.0,8.0,58.0,Potential Loyalists
KH2077,229.0,15.0,170.9,Big Spenders
KH2078,75.0,6.0,59.04,Potential Loyalists
KH2079,164.0,14.0,168.41,Big Spenders
KH2080,253.0,5.0,53.6,Big Spenders
KH2081,342.0,10.0,103.0,Churned Customers
KH2082,37.0,10.0,45.9,Potential Loyalists
KH2083,53.0,12.0,108.0,Potential Loyalists
KH2084,137.0,4.0,27.1,Big Spenders
KH2085,252.0,8.0,66.7,Big Spenders
KH2086,211.0,20.0,182.4,Big Spenders
KH2087,265.0,10.0,70.0,Big Spenders
KH2088,324.0,5.0,32.7,Churned Customers
KH2089,60.0,16.0,161.3,Loyal Customers
KH2091,72.0,11.0,69.4,Potential Loyalists
KH2092,54.0,17.0,96.3,Potential Loyalists
KH2093,201.0,16.0,159.3,Big Spenders
KH2094,602.0,6.0,34.44,One-time Shoppers
KH2095,92.0,6.0,38.2,Potential Loyalists
KH2096,339.0,2.0,8.6,Churned Customers
KH2097,90.0,11.0,111.27,Potential Loyalists
KH2098,436.0,7.0,35.8,Churned Customers
KH2100,78.0,15.0,151.14,Loyal Customers
KH2101,10.0,11.0,39.6,Potential Loyalists
KH2102,234.0,12.0,108.5,Big Spenders
KH2103,294.0,2.0,20.55,Churned Customers
KH2104,71.0,9.0,110.4,Potential Loyalists
KH2105,343.0,5.0,72.06,Churned Customers
KH2106,36.0,12.0,56.4,Potential Loyalists
KH2107,33.0,19.0,113.0,Potential Loyalists
KH2108,90.0,7.0,60.9,Potential Loyalists
KH2109,63.0,10.0,51.9,Potential Loyalists
KH2110,154.0,8.0,81.5,Big Spenders
KH2111,308.0,8.0,63.51,Churned Customers
KH2112,572.0,4.0,19.0,One-time Shoppers
KH2113,114.0,8.0,44.6,Potential Loyalists
KH2114,54.0,6.0,33.3,Potential Loyalists
KH2115,42.0,7.0,61.4,Potential Loyalists
KH2116,123.0,4.0,12.1,Potential Loyalists
KH2117,53.0,13.0,146.28,Loyal Customers
KH2118,165.0,5.0,68.2,Big Spenders
KH2119,97.0,8.0,69.2,Potential Loyalists
KH2120,84.0,14.0,180.0,Loyal Customers
KH2121,422.0,4.0,20.6,Churned Customers
KH2122,267.0,10.0,82.15,Big Spenders
KH2123,572.0,3.0,38.6,One-time Shoppers
KH2125,188.0,6.0,60.9,Big Spenders
KH2126,612.0,2.0,49.0,One-time Shoppers
KH2127,41.0,12.0,95.22,Potential Loyalists
KH2128,142.0,11.0,111.23,Big Spenders
KH2129,141.0,16.0,115.9,Big Spenders
KH2131,125.0,12.0,90.0,Big Spenders
KH2132,376.0,11.0,76.2,Churned Customers
KH2133,147.0,16.0,169.96,Loyal Customers
KH2134,95.0,7.0,69.4,Potential Loyalists
KH2135,339.0,8.0,62.8,Churned Customers
KH2136,323.0,2.0,9.0,Churned Customers
KH2137,614.0,4.0,93.3,One-time Shoppers
KH2138,301.0,18.0,221.86,Churned Customers
KH2139,258.0,12.0,81.6,Big Spenders
KH2140,0.0,6.0,22.7,Potential Loyalists
KH2141,297.0,9.0,31.0,Churned Customers
KH2142,188.0,19.0,156.0,Big Spenders
KH2143,158.0,7.0,49.3,Big Spenders
KH2144,359.0,10.0,148.6,Churned Customers
KH2145,18.0,5.0,16.8,Potential Loyalists
KH2146,193.0,6.0,72.9,Big Spenders
